id,single_tone,combined_tones,single_tone_path,combined_tones_path
13,"[814.6133961900902,24]","[[117.1875,41],[814.6133961900902,24]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000013_single_00814.61Hz_-66.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000013_combined_00117.19Hz_-49.00dBFS+00814.61Hz_-66.00dBFS.wav
14,"[9585.562560224573,65]","[[7476.5625,74],[9585.562560224573,65]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000014_single_09585.56Hz_-25.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000014_combined_07476.56Hz_-16.00dBFS+09585.56Hz_-25.00dBFS.wav
15,"[3383.641515634534,33]","[[4335.9375,48],[3383.641515634534,33]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000015_single_03383.64Hz_-57.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000015_combined_04335.94Hz_-42.00dBFS+03383.64Hz_-57.00dBFS.wav
16,"[14291.528073407402,43]","[[14507.8125,48],[14291.528073407402,43]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000016_single_14291.53Hz_-47.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000016_combined_14507.81Hz_-42.00dBFS+14291.53Hz_-47.00dBFS.wav
17,"[14121.356752562886,28]","[[4898.4375,67],[14121.356752562886,28]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000017_single_14121.36Hz_-62.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000017_combined_04898.44Hz_-23.00dBFS+14121.36Hz_-62.00dBFS.wav
18,"[10345.595098927723,57]","[[12562.5,68],[10345.595098927723,57]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000018_single_10345.60Hz_-33.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000018_combined_12562.50Hz_-22.00dBFS+10345.60Hz_-33.00dBFS.wav
19,"[7518.366852156934,46]","[[2015.625,57],[7518.366852156934,46]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000019_single_07518.37Hz_-44.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000019_combined_02015.62Hz_-33.00dBFS+07518.37Hz_-44.00dBFS.wav
20,"[12983.294302626424,53]","[[10054.6875,54],[12983.294302626424,53]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000020_single_12983.29Hz_-37.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000020_combined_10054.69Hz_-36.00dBFS+12983.29Hz_-37.00dBFS.wav
21,"[1817.4374450730274,62]","[[1898.4375,68],[1817.4374450730274,62]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000021_single_01817.44Hz_-28.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000021_combined_01898.44Hz_-22.00dBFS+01817.44Hz_-28.00dBFS.wav
22,"[3793.251046395592,48]","[[7781.25,49],[3793.251046395592,48]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000022_single_03793.25Hz_-42.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000022_combined_07781.25Hz_-41.00dBFS+03793.25Hz_-42.00dBFS.wav
23,"[7133.494424435028,43]","[[2882.8125,44],[7133.494424435028,43]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000023_single_07133.49Hz_-47.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000023_combined_02882.81Hz_-46.00dBFS+07133.49Hz_-47.00dBFS.wav
24,"[4987.597849589174,39]","[[8765.625,72],[4987.597849589174,39]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000024_single_04987.60Hz_-51.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000024_combined_08765.62Hz_-18.00dBFS+04987.60Hz_-51.00dBFS.wav
25,"[4693.557375966674,39]","[[11531.25,58],[4693.557375966674,39]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000025_single_04693.56Hz_-51.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000025_combined_11531.25Hz_-32.00dBFS+04693.56Hz_-51.00dBFS.wav
26,"[13182.012225413277,25]","[[13664.0625,54],[13182.012225413277,25]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000026_single_13182.01Hz_-65.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000026_combined_13664.06Hz_-36.00dBFS+13182.01Hz_-65.00dBFS.wav
27,"[3236.24952633085,54]","[[6468.75,61],[3236.24952633085,54]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000027_single_03236.25Hz_-36.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000027_combined_06468.75Hz_-29.00dBFS+03236.25Hz_-36.00dBFS.wav
28,"[12077.994649015924,27]","[[8976.5625,50],[12077.994649015924,27]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000028_single_12077.99Hz_-63.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000028_combined_08976.56Hz_-40.00dBFS+12077.99Hz_-63.00dBFS.wav
29,"[434.8382767418416,25]","[[46.875,59],[434.8382767418416,25]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000029_single_00434.84Hz_-65.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000029_combined_00046.88Hz_-31.00dBFS+00434.84Hz_-65.00dBFS.wav
30,"[17402.4532159308,68]","[[11437.5,78],[17402.4532159308,68]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000030_single_17402.45Hz_-22.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000030_combined_11437.50Hz_-12.00dBFS+17402.45Hz_-22.00dBFS.wav
31,"[5608.810174208709,24]","[[9281.25,61],[5608.810174208709,24]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000031_single_05608.81Hz_-66.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000031_combined_09281.25Hz_-29.00dBFS+05608.81Hz_-66.00dBFS.wav
32,"[2206.3622661848244,20]","[[2789.0625,40],[2206.3622661848244,20]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000032_single_02206.36Hz_-70.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000032_combined_02789.06Hz_-50.00dBFS+02206.36Hz_-70.00dBFS.wav
33,"[12689.930176911192,21]","[[12304.6875,51],[12689.930176911192,21]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000033_single_12689.93Hz_-69.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000033_combined_12304.69Hz_-39.00dBFS+12689.93Hz_-69.00dBFS.wav
34,"[12011.586888148746,20]","[[12070.3125,41],[12011.586888148746,20]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000034_single_12011.59Hz_-70.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000034_combined_12070.31Hz_-49.00dBFS+12011.59Hz_-70.00dBFS.wav
35,"[5588.616294508171,52]","[[9257.8125,56],[5588.616294508171,52]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000035_single_05588.62Hz_-38.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000035_combined_09257.81Hz_-34.00dBFS+05588.62Hz_-38.00dBFS.wav
36,"[7614.457497657644,25]","[[7265.625,64],[7614.457497657644,25]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000036_single_07614.46Hz_-65.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000036_combined_07265.62Hz_-26.00dBFS+07614.46Hz_-65.00dBFS.wav
37,"[1889.4166115748096,28]","[[2460.9375,41],[1889.4166115748096,28]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000037_single_01889.42Hz_-62.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000037_combined_02460.94Hz_-49.00dBFS+01889.42Hz_-62.00dBFS.wav
38,"[9295.442971993576,33]","[[5320.3125,65],[9295.442971993576,33]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000038_single_09295.44Hz_-57.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000038_combined_05320.31Hz_-25.00dBFS+09295.44Hz_-57.00dBFS.wav
39,"[10062.50288447368,55]","[[13078.125,57],[10062.50288447368,55]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000039_single_10062.50Hz_-35.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000039_combined_13078.12Hz_-33.00dBFS+10062.50Hz_-35.00dBFS.wav
40,"[3331.977879584046,56]","[[7171.875,78],[3331.977879584046,56]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000040_single_03331.98Hz_-34.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000040_combined_07171.88Hz_-12.00dBFS+03331.98Hz_-34.00dBFS.wav
41,"[6212.991732483692,39]","[[13523.4375,51],[6212.991732483692,39]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000041_single_06212.99Hz_-51.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000041_combined_13523.44Hz_-39.00dBFS+06212.99Hz_-51.00dBFS.wav
42,"[18079.738316072355,34]","[[14460.9375,44],[18079.738316072355,34]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000042_single_18079.74Hz_-56.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000042_combined_14460.94Hz_-46.00dBFS+18079.74Hz_-56.00dBFS.wav
43,"[4029.337860919264,31]","[[6257.8125,50],[4029.337860919264,31]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000043_single_04029.34Hz_-59.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000043_combined_06257.81Hz_-40.00dBFS+04029.34Hz_-59.00dBFS.wav
44,"[16466.224754053976,68]","[[11812.5,79],[16466.224754053976,68]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000044_single_16466.22Hz_-22.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000044_combined_11812.50Hz_-11.00dBFS+16466.22Hz_-22.00dBFS.wav
45,"[13771.307016951116,30]","[[6726.5625,77],[13771.307016951116,30]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000045_single_13771.31Hz_-60.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000045_combined_06726.56Hz_-13.00dBFS+13771.31Hz_-60.00dBFS.wav
46,"[6382.881590195735,44]","[[14835.9375,63],[6382.881590195735,44]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000046_single_06382.88Hz_-46.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000046_combined_14835.94Hz_-27.00dBFS+06382.88Hz_-46.00dBFS.wav
47,"[7587.558780816507,22]","[[9515.625,68],[7587.558780816507,22]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000047_single_07587.56Hz_-68.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000047_combined_09515.62Hz_-22.00dBFS+07587.56Hz_-68.00dBFS.wav
48,"[8349.539587825473,48]","[[4687.5,78],[8349.539587825473,48]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000048_single_08349.54Hz_-42.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000048_combined_04687.50Hz_-12.00dBFS+08349.54Hz_-42.00dBFS.wav
49,"[5109.8106471983665,21]","[[2812.5,52],[5109.8106471983665,21]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000049_single_05109.81Hz_-69.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000049_combined_02812.50Hz_-38.00dBFS+05109.81Hz_-69.00dBFS.wav
50,"[7203.280709254042,55]","[[10593.75,64],[7203.280709254042,55]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000050_single_07203.28Hz_-35.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000050_combined_10593.75Hz_-26.00dBFS+07203.28Hz_-35.00dBFS.wav
51,"[4692.785660626186,29]","[[5460.9375,71],[4692.785660626186,29]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000051_single_04692.79Hz_-61.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000051_combined_05460.94Hz_-19.00dBFS+04692.79Hz_-61.00dBFS.wav
52,"[7338.115898183398,55]","[[5789.0625,68],[7338.115898183398,55]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000052_single_07338.12Hz_-35.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000052_combined_05789.06Hz_-22.00dBFS+07338.12Hz_-35.00dBFS.wav
53,"[662.207624999746,35]","[[1453.125,64],[662.207624999746,35]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000053_single_00662.21Hz_-55.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000053_combined_01453.12Hz_-26.00dBFS+00662.21Hz_-55.00dBFS.wav
54,"[15200.288832530874,21]","[[14179.6875,54],[15200.288832530874,21]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000054_single_15200.29Hz_-69.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000054_combined_14179.69Hz_-36.00dBFS+15200.29Hz_-69.00dBFS.wav
55,"[2994.507225252292,20]","[[2695.3125,42],[2994.507225252292,20]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000055_single_02994.51Hz_-70.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000055_combined_02695.31Hz_-48.00dBFS+02994.51Hz_-70.00dBFS.wav
56,"[3279.6004961111475,26]","[[1031.25,56],[3279.6004961111475,26]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000056_single_03279.60Hz_-64.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000056_combined_01031.25Hz_-34.00dBFS+03279.60Hz_-64.00dBFS.wav
57,"[14348.175314487942,23]","[[7898.4375,68],[14348.175314487942,23]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000057_single_14348.18Hz_-67.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000057_combined_07898.44Hz_-22.00dBFS+14348.18Hz_-67.00dBFS.wav
58,"[4533.497402773417,33]","[[7054.6875,42],[4533.497402773417,33]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000058_single_04533.50Hz_-57.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000058_combined_07054.69Hz_-48.00dBFS+04533.50Hz_-57.00dBFS.wav
59,"[14549.653031240312,25]","[[11390.625,40],[14549.653031240312,25]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000059_single_14549.65Hz_-65.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000059_combined_11390.62Hz_-50.00dBFS+14549.65Hz_-65.00dBFS.wav
60,"[19979.135655424398,69]","[[9562.5,76],[19979.135655424398,69]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000060_single_19979.14Hz_-21.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000060_combined_09562.50Hz_-14.00dBFS+19979.14Hz_-21.00dBFS.wav
61,"[1202.2430320628077,47]","[[1617.1875,52],[1202.2430320628077,47]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000061_single_01202.24Hz_-43.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000061_combined_01617.19Hz_-38.00dBFS+01202.24Hz_-43.00dBFS.wav
62,"[7410.123858890889,49]","[[5695.3125,72],[7410.123858890889,49]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000062_single_07410.12Hz_-41.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000062_combined_05695.31Hz_-18.00dBFS+07410.12Hz_-41.00dBFS.wav
63,"[5557.570380602225,23]","[[13804.6875,44],[5557.570380602225,23]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000063_single_05557.57Hz_-67.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000063_combined_13804.69Hz_-46.00dBFS+05557.57Hz_-67.00dBFS.wav
64,"[953.367105430735,52]","[[843.75,57],[953.367105430735,52]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000064_single_00953.37Hz_-38.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000064_combined_00843.75Hz_-33.00dBFS+00953.37Hz_-38.00dBFS.wav
65,"[17137.99961411445,46]","[[5812.5,50],[17137.99961411445,46]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000065_single_17138.00Hz_-44.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000065_combined_05812.50Hz_-40.00dBFS+17138.00Hz_-44.00dBFS.wav
66,"[4758.062258684038,38]","[[9656.25,71],[4758.062258684038,38]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000066_single_04758.06Hz_-52.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000066_combined_09656.25Hz_-19.00dBFS+04758.06Hz_-52.00dBFS.wav
67,"[67.97805357918097,55]","[[304.6875,75],[67.97805357918097,55]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000067_single_00067.98Hz_-35.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000067_combined_00304.69Hz_-15.00dBFS+00067.98Hz_-35.00dBFS.wav
68,"[8538.590408155354,73]","[[10382.8125,75],[8538.590408155354,73]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000068_single_08538.59Hz_-17.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000068_combined_10382.81Hz_-15.00dBFS+08538.59Hz_-17.00dBFS.wav
69,"[8767.64292747448,37]","[[11953.125,42],[8767.64292747448,37]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000069_single_08767.64Hz_-53.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000069_combined_11953.12Hz_-48.00dBFS+08767.64Hz_-53.00dBFS.wav
70,"[6340.199569688986,49]","[[12843.75,50],[6340.199569688986,49]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000070_single_06340.20Hz_-41.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000070_combined_12843.75Hz_-40.00dBFS+06340.20Hz_-41.00dBFS.wav
71,"[12612.320122285135,31]","[[10781.25,52],[12612.320122285135,31]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000071_single_12612.32Hz_-59.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000071_combined_10781.25Hz_-38.00dBFS+12612.32Hz_-59.00dBFS.wav
72,"[17082.68774939356,45]","[[3210.9375,65],[17082.68774939356,45]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000072_single_17082.69Hz_-45.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000072_combined_03210.94Hz_-25.00dBFS+17082.69Hz_-45.00dBFS.wav
73,"[8179.181345533569,45]","[[9375,62],[8179.181345533569,45]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000073_single_08179.18Hz_-45.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000073_combined_09375.00Hz_-28.00dBFS+08179.18Hz_-45.00dBFS.wav
74,"[8937.16860046512,24]","[[4757.8125,78],[8937.16860046512,24]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000074_single_08937.17Hz_-66.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000074_combined_04757.81Hz_-12.00dBFS+08937.17Hz_-66.00dBFS.wav
75,"[11594.272585612525,47]","[[9351.5625,73],[11594.272585612525,47]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000075_single_11594.27Hz_-43.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000075_combined_09351.56Hz_-17.00dBFS+11594.27Hz_-43.00dBFS.wav
76,"[14358.757466219446,32]","[[12117.1875,53],[14358.757466219446,32]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000076_single_14358.76Hz_-58.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000076_combined_12117.19Hz_-37.00dBFS+14358.76Hz_-58.00dBFS.wav
77,"[7207.3372421766035,50]","[[12632.8125,67],[7207.3372421766035,50]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000077_single_07207.34Hz_-40.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000077_combined_12632.81Hz_-23.00dBFS+07207.34Hz_-40.00dBFS.wav
78,"[3868.635322812711,29]","[[1312.5,47],[3868.635322812711,29]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000078_single_03868.64Hz_-61.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000078_combined_01312.50Hz_-43.00dBFS+03868.64Hz_-61.00dBFS.wav
79,"[6127.676181590917,22]","[[8695.3125,44],[6127.676181590917,22]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000079_single_06127.68Hz_-68.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000079_combined_08695.31Hz_-46.00dBFS+06127.68Hz_-68.00dBFS.wav
80,"[6113.555110915106,53]","[[4617.1875,70],[6113.555110915106,53]]",/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000080_single_06113.56Hz_-37.00dBFS.wav,/google/src/cloud/lauraruis/upload_questions/google3/extra_data_wavs/r000080_combined_04617.19Hz_-20.00dBFS+06113.56Hz_-37.00dBFS.wav
